ID,Data_Source_Type,Raw_Text_Snippet,Trend_Name_Predicted,Associated_Ingredients_Extracted,Key_Benefits_Extracted,Product_Types_Extracted,Target_Concerns_Extracted,Trend_Category_Assigned
1,Social Media Post,My esthetician told me to use a thin layer of a petroleum jelly product over my night cream. The next morning, my skin looked amazing. #sluglife,Slugging,"Petrolatum, Occlusives","Hydration Lock, Barrier Repair",Balm,Dehydration,Technique/Routine Trend
2,Product Review,Tried the new niacinamide serum and my pores are noticeably smaller. It’s also helped calm down the redness on my cheeks a lot.,Niacinamide,Niacinamide,"Pore Reduction, Anti-Redness",Serum,Enlarged Pores,Ingredient-Driven Trend
3,Blog Snippet,Experts are calling Squalane the non-comedogenic oil of the decade. It's plant-derived and mimics our skin's natural lipids perfectly.,Squalane,Squalane,"Non-Comedogenic, Moisturization",Oil,Dryness,Ingredient-Driven Trend
4,Social Media Post,I'm officially tired of my ten-step routine. I’m starting skinimalism and focusing on just a great cleanser, moisturizer, and SPF.,Skinimalism,N/A,"Simplified Routine, Efficiency",Cleanser, Over-Consumption,Cultural/Lifestyle Shift
5,Product Review,This cleanser in a solid stick form is genius! Zero plastic waste and it lathers up perfectly. Waterless beauty is the future.,Waterless Beauty,N/A,"Sustainability, Zero Waste",Solid Cleanser,Environmental Impact,Format/Sustainability Shift
6,Social Media Post,Does anyone know a good retinol alternative? My sensitive skin can't handle the peeling, but I need anti-aging benefits. I heard of Bakuchiol.,Bakuchiol (Retinol Alternative),Bakuchiol,"Anti-Aging, Gentle Renewal",Serum,Sensitivity,Ingredient-Driven Trend
7,Blog Snippet,Protect your skin from your screen! Blue light filters in daytime serums are becoming essential for desk workers and heavy phone users.,Blue Light Protection,Antioxidants,"Digital Stress Protection",Day Serum,Screen Exposure Damage,Problem-Solving Innovation
8,Product Review,The bottle is expensive, but the fact that it’s refillable makes me feel better about the environmental impact. Brand commitment matters.,Refillable Packaging,N/A,"Eco-Conscious, Reduced Waste",All Products,Environmental Impact,Format/Sustainability Shift
9,Social Media Post,Just started Skin Cycling! Retinol on Monday, AHA on Tuesday, and then two nights of just barrier repair. My skin hasn't been irritated at all.,Skin Cycling,"Retinol, AHA/BHA",Regimen Optimization,Exfoliant,Over-Exfoliation,Technique/Routine Trend
10,Blog Snippet,The power of microbiome-friendly formulas: They contain prebiotics and postbiotics that help the good bacteria on your skin thrive.,Microbiome-Friendly,"Prebiotics, Postbiotics","Balanced Flora, Skin Health",Moisturizer,Skin Biome Imbalance,Problem-Solving Innovation
11,Product Review,I love that brands are finally using upcycled coffee grounds in their exfoliants. Less waste and great results!,Upcycled Ingredients,Coffee Grounds,"Sustainability, Exfoliation",Scrub,Waste Reduction,Format/Sustainability Shift
12,Social Media Post,Obsessed with Cica! It's the ultimate soothing ingredient for my post-acne redness. Korean skincare knows best.,Cica/Centella Asiatica,Centella Asiatica,"Soothing, Redness Reduction",Serum,Post-Acne Marks,Ingredient-Driven Trend
13,Product Review,The texture of this essence is light but deeply hydrating. It's my new favorite step in my 7-layer routine.,7-Skin Method,Hyaluronic Acid,"Deep Hydration, Plumping",Essence,Dehydration,Technique/Routine Trend
14,Blog Snippet,For sensitive skin, consider a PHA toner over a harsh AHA. The larger molecule size means gentler exfoliation.,PHA (Polyhydroxy Acids),PHA,"Gentle Exfoliation, Brightening",Toner,Sensitivity,Ingredient-Driven Trend
15,Social Media Post,Is the DIY Vitamin C mask a good idea? It made my skin itch. I think I'll stick to stable, professionally formulated products.,DIY Skincare (Vitamin C),Vitamin C Powder,"Affordability, High Potency",Mask,Breakout Risk,Fad/Misinformation
16,Product Review,My skin looks so dull after a flight. I need a serum that specifically tackles the effects of air pollution and city grime.,Anti-Pollution Skincare,Antioxidants,Neutralization,Serum,Environmental Stress,Problem-Solving Innovation
17,Blog Snippet,Hyper-Personalization is here. AI analyzing your skin and printing a custom 3D-printed face mask in-store.,Hyper-Personalization,AI,Customization,3D-Printed Mask,Generic Products,Cultural/Lifestyle Shift
18,Social Media Post,Finally found a non-drying AHA/BHA peel that incorporates probiotics. My texture is gone! #chemicalexfoliation,Probiotics (Exfoliation),Probiotics,Texture Improvement,Peel,Rough Texture,Ingredient-Driven Trend
19,Product Review,Disappointed. This 'clean' foundation still contains essential oils which irritate my rosacea. Brands need to be truly fragrance-free.,Truly Fragrance-Free,Essential Oils,Non-Irritating,Foundation,Rosacea,Cultural/Lifestyle Shift
20,Blog Snippet,The rise of Skincare Devices: From microcurrent to LED masks, consumers are bringing the spa home for long-term results.,At-Home Devices,Microcurrent,Toning,Device,Aging Signs,Cultural/Lifestyle Shift
21,Social Media Post,I'm hearing a lot about 'fermented' ingredients lately. Does this make the skincare work better?,Fermented Skincare,"Fermented Extracts, Yeasts",Potency,Serum,Ingredient Efficacy,Ingredient-Driven Trend
22,Product Review,The best anti-aging product I've used contains a high concentration of peptides. Noticeable reduction in neck lines.,Peptide Complex,Various Peptides,"Firming, Anti-Aging",Neck Cream,Fine Lines,Ingredient-Driven Trend
23,Blog Snippet,Fungal Acne awareness is growing. Look for products that are non-Malassezia triggering when buying moisturizers.,Fungal Acne Safe,N/A,"Non-Comedogenic, Clearing",Moisturizer,Fungal Acne,Problem-Solving Innovation
24,Social Media Post,Need a quick fix for my under-eye bags after a sleepless night. Anyone recommend a cooling gua sha routine?,Gua Sha/Facial Massage,N/A,"De-puffing, Lymphatic Drainage",Tool,Puffiness,Technique/Routine Trend
25,Product Review,This face wash is PH-balanced and gentle. My skin never feels stripped after double cleansing.,Double Cleansing,Oil Cleanser,Thorough Cleansing,Oil Cleanser,Makeup Removal,Technique/Routine Trend
26,Social Media Post,Trying out the 'Sandwich Method' for my retinol tonight to prevent irritation. Moisturizer, retinol, then moisturizer again.,Retinol Sandwich Method,Retinol,Irritation Prevention,Retinol Cream,Sensitivity,Technique/Routine Trend
27,Product Review,This new face cream has a sustainable, reusable glass jar with a small recyclable pod inside. Love the low-impact approach.,Sustainable Refills,N/A,Reduced Environmental Impact,Cream,Packaging Waste,Format/Sustainability Shift
28,Blog Snippet,The debate over Vitamin C derivatives vs. L-Ascorbic Acid is getting heated. Stability is key for efficacy.,Vitamin C Stability,L-Ascorbic Acid,Potency,Serum,Oxidation,Ingredient-Driven Trend
29,Social Media Post,My derm recommended a low-concentration Tretinoin, but I'm worried about the purge. Should I start with Retinaldehyde instead?,Retinaldehyde,Retinaldehyde,"Potent, Less Irritating",Serum,Acne Purge,Ingredient-Driven Trend
30,Product Review,This serum contains snow mushroom extract—it holds way more water than HA, apparently. My skin is super bouncy!,Snow Mushroom,Snow Mushroom Extract,"Extreme Hydration, Plumpness",Serum,Dry Skin,Ingredient-Driven Trend
31,Social Media Post,Is the 'Slugging' trend just a greasy mess or is it genuinely good for a compromised barrier? I'm skeptical.,Slugging,Petroleum,Barrier Repair,Occlusive,Compromised Barrier,Technique/Routine Trend
32,Product Review,Best cleanser for my sensitive skin—it's sulfate-free and has a lovely cloud-like texture.,Sulfate-Free Skincare,N/A,"Gentle Cleansing, Non-Stripping",Cleanser,Sensitivity,Cultural/Lifestyle Shift
33,Blog Snippet,Post-workout skincare is crucial to prevent bacne. Look for salicylic acid body sprays immediately after the gym.,Post-Workout Skincare,Salicylic Acid,"Acne Prevention, Cleansing",Body Spray,Bacne,Cultural/Lifestyle Shift
34,Social Media Post,My skin texture improved so fast with this new toner! It has Mandelic Acid, which is great for acne-prone complexions.,Mandelic Acid,Mandelic Acid,"Acne Treatment, Texture Smoothing",Toner,Acne,Ingredient-Driven Trend
